#队伍编号,未设置队伍
#评审时间,2026-06-07 15:53:37
#NTP服务器,ntp.aliyun.com
#NTP已同步,是
#NTP同步时刻,2026-06-07 15:31:57
#随机种子,4470031
#总分,39.0
序号,时间(NTP),测试编号,步骤描述,相关参数,下发帧原文,下发帧解析,收回帧原文,收回帧解析,得分,满分,结果
113,2026-06-07 15:50:59.660,H-01,等待5s上报帧(1/10)(字符串),,,,A5B6D7820203020C026A2522E2459FCE0045FF4000C474B6A5,A5B6D7820203020C026A2522E2459FCE0045FF4000C474B6A5,0.0,0.0,--
114,2026-06-07 15:51:04.611,H-01,等待5s上报帧(2/10),,,,A5B6D7820203020C026A2522E7459FD80046000000D648B6A5,"时间=15:51:03, CH0=5115.0000, CH1=8192.0000",0.0,0.0,--
115,2026-06-07 15:51:04.611,H-01,等待5s上报帧(2/10)(字符串),,,,A5B6D7820203020C026A2522E7459FD80046000000D648B6A5,A5B6D7820203020C026A2522E7459FD80046000000D648B6A5,0.0,0.0,--
116,2026-06-07 15:51:09.564,H-01,等待5s上报帧(3/10),,,,A5B6D7820203020C026A2522EC459FCE0046001000D034B6A5,"时间=15:51:08, CH0=5113.7500, CH1=8196.0000",0.0,0.0,--
117,2026-06-07 15:51:09.564,H-01,等待5s上报帧(3/10)(字符串),,,,A5B6D7820203020C026A2522EC459FCE0046001000D034B6A5,A5B6D7820203020C026A2522EC459FCE0046001000D034B6A5,0.0,0.0,--
118,2026-06-07 15:51:14.546,H-01,上报期间发送读ID(预期无应答),,A5B6FFFF010111000201B0B6A5,命令 命令字=0x0111,A5B6D7820203020C026A2522F1459FCE004600100080A1B6A5,"[功能不符] 预期CMD=0x0111, 实收CMD=0x0302; 时间=15:51:13, CH0=5113.7500, CH1=8196.0000",0.0,0.0,--
119,2026-06-07 15:51:15.965,H-01,上报期间发送读ID(预期无应答)(字符串),,,,A5B6D7820203020C026A2522F1459FCE004600100080A1B6A5,A5B6D7820203020C026A2522F1459FCE004600100080A1B6A5,0.0,0.0,--
120,2026-06-07 15:51:15.965,H-01,上报期间发送读ID(预期无应答),,A5B6FFFF010111000201B0B6A5,命令 命令字=0x0111,,超时无应答,0.0,0.0,--
121,2026-06-07 15:51:15.965,H-01,上报期间读ID验证,,,,,设备未应答(正确),1.0,1.0,通过
122,2026-06-07 15:51:19.542,H-01,等待5s上报帧(4/10),,,,A5B6D7820203020C026A2522F6459FCE0046001000B087B6A5,"时间=15:51:18, CH0=5113.7500, CH1=8196.0000",0.0,0.0,--
123,2026-06-07 15:51:19.542,H-01,等待5s上报帧(4/10)(字符串),,,,A5B6D7820203020C026A2522F6459FCE0046001000B087B6A5,A5B6D7820203020C026A2522F6459FCE0046001000B087B6A5,0.0,0.0,--
124,2026-06-07 15:51:24.491,H-01,等待5s上报帧(5/10),,,,A5B6D7820203020C026A2522FB459FC400460020008ACBB6A5,"时间=15:51:23, CH0=5112.5000, CH1=8200.0000",0.0,0.0,--
125,2026-06-07 15:51:24.491,H-01,等待5s上报帧(5/10)(字符串),,,,A5B6D7820203020C026A2522FB459FC400460020008ACBB6A5,A5B6D7820203020C026A2522FB459FC400460020008ACBB6A5,0.0,0.0,--
126,2026-06-07 15:51:29.467,H-01,等待5s上报帧(6/10),,,,A5B6D7820203020C026A252300459FBA004600100065F3B6A5,"时间=15:51:28, CH0=5111.2500, CH1=8196.0000",0.0,0.0,--
127,2026-06-07 15:51:29.467,H-01,等待5s上报帧(6/10)(字符串),,,,A5B6D7820203020C026A252300459FBA004600100065F3B6A5,A5B6D7820203020C026A252300459FBA004600100065F3B6A5,0.0,0.0,--
